json_file,story_id,ner_tagging,number_of_ner_tags
22_answer.json,1,"{'ORG': ['Oakridge Academy', 'Zenith', 'Apollo', 'Robot'], 'MISC': ['Robotics Championship'], 'PER': ['Julian', 'Aria', 'Sam', 'Mia', 'Principal', 'Foster']}",11
22_answer.json,2,"{'ORG': ['Riverside Rangers', 'Emerald Eagles', 'Rangers', 'Emerald', 'Eagles'], 'PER': ['Jake Hendricks', 'Malcolm Grant', 'Jake', 'Sarah']}",9
22_answer.json,3,"{'LOC': ['New Haven'], 'MISC': ['Tech Olympiad'], 'ORG': ['Team Zephyr', 'Athena'], 'PER': ['Liam', 'Mia', 'A', '##rjun', 'Zoe', 'Langston', 'Z', 'Lang']}",12
22_answer.json,4,"{'LOC': ['C', '##restwyn'], 'MISC': ['Summit e', '##ports Championship', 'Summit Cup'], 'ORG': ['##S', 'Obsidian Vanguard', 'Red Dragons', 'Ta', 'O', 'Vanguard', 'Summit'], 'PER': ['Alex', 'Mira', 'Ta', '##q', 'Jess', 'Leo']}",18
22_answer.json,5,"{'MISC': ['Shadows', 'Glory', 'Tech', 'Championship'], 'ORG': ['of', '##Sphere', 'Team Synapse', 'TechSphere', 'El'], 'LOC': ['Eldoria'], 'PER': ['Lila Morgan']}",11
22_answer.json,6,"{'LOC': ['Riverton'], 'MISC': ['TechQuest Championship'], 'ORG': ['NovaTech Titans', 'Titans', 'TechQuest Committee', 'Committee'], 'PER': ['Alex', 'Mia', 'Sam', 'Jordan', 'Taylor', 'Clara Hughes']}",12
22_answer.json,7,"{'LOC': ['Pine Valley'], 'MISC': ['Pine Valley Cup'], 'ORG': ['Pine Valley Spartans', 'Spartans', 'Riverside Hawks', 'Pine Valley High'], 'PER': ['Jake Thompson', 'Marshall', 'Daisy Chen', 'Daisy', 'Watkins', 'Pete', 'Larson']}",13
22_answer.json,8,"{'ORG': ['Maris', 'Team Quantum', 'Solaris High School', 'Arcus', 'B', '##iomechanics', 'Riverton Academy', 'Arc', 'Quantum', 'Mira', 'Jordan'], 'LOC': ['##ol'], 'MISC': ['International Robotics Championship'], 'PER': ['Alex Chen', 'Mira', 'Jordan', 'R', '##hea', 'Alex']}",19
22_answer.json,9,"{'LOC': ['Eastville', 'East'], 'MISC': ['Inter - Regional Robotics Championship'], 'ORG': ['Eastville High', 'Tech Titans', 'At', 'Atom', 'High', 'Titans', 'Turner', 'Tech'], 'PER': ['Sarah', 'Malik', 'P', '##riya', 'Aiden', 'Emily', 'At']}",18
22_answer.json,10,"{'LOC': ['Riverton'], 'MISC': ['Riverton', '##ics Championship', 'The Hammerhead'], 'ORG': ['Robot', 'Riverton High', 'Riverton Raptors', 'Miller Valley', 'MV Mavericks', 'Miller Valley High', 'Raptors', 'Riverton', 'River', 'MV'], 'PER': ['Lawson']}",15
10_answer.json,1,"{'LOC': ['Metropolis'], 'PER': ['Luna Delac', 'Luna', 'Miguel'], 'ORG': ['Metropolis Green Movement', 'MGM', 'Metropolis', 'Clean', 'Future', 'Act']}",10
10_answer.json,2,"{'MISC': ['##ples of Change', 'Green A', '##kening', 'Greener Tomorrow', 'Green'], 'PER': ['Clara Jenkins', 'Clara'], 'LOC': ['Arborville', 'Arbor'], 'ORG': ['Green', 'Environmental']}",11
10_answer.json,3,"{'LOC': ['Veritas'], 'PER': ['Maya Alvarez', 'Maya'], 'ORG': ['Green Roots']}",4
10_answer.json,4,"{'MISC': ['Firefly', 's', '##ination', 'The Firefly March'], 'LOC': ['Novacrest'], 'PER': ['Maya Li', 'Maya'], 'ORG': ['Nova']}",8
10_answer.json,5,"{'LOC': ['Novalight'], 'PER': ['Lin', '##a Morales'], 'ORG': ['ClearSky', 'Novalight', 'Clear', 'Initiative']}",7
10_answer.json,6,"{'LOC': ['Nova Veritas'], 'PER': ['El', '##ara Finn', '##ara'], 'ORG': ['Homes for All'], 'MISC': ['Finn']}",6
10_answer.json,7,"{'LOC': ['Veridia', 'Ch', '##elan', 'Auroria'], 'PER': ['Ana', 'Vere'], 'ORG': ['Voice of the Earth', 'V', 'Green', 'Future', 'Initiative'], 'MISC': ['Green Tomorrow', 'Over Profits']}",13
10_answer.json,8,"{'MISC': ['Echo on the Winds'], 'LOC': ['Windmere', 'Wind'], 'PER': ['Ali', '##na Reyes'], 'ORG': ['Windmere Alliance for Sustainable Change']}",6
10_answer.json,9,"{'MISC': ['Echo of Change', 'of Silent Waters', 'Clean', '##Es'], 'PER': ['Lila Torres', 'Lila', 'Mateo'], 'LOC': ['Esperanza', 'Verd', '##ant Borough', 'City Hall'], 'ORG': ['##anza', 'Citizen', 'Coalition']}",14
10_answer.json,10,"{'LOC': ['Serenica', 'East Serenica', '##eni', 'Ser'], 'PER': ['Amar', 'El', 'Sa'], 'ORG': ['Voices for Change', 'Ser'], 'MISC': ['##cans']}",10
05_answer.json,1,"{'MISC': ['of a New Era', 'Iron Fist', 'of Dissent', '##ians', 'Silent Spring', '##er of Hope'], 'LOC': ['Solaria', 'Solar'], 'PER': ['Hector Varela', 'Varel', 'Amara Flores', 'Amar', 'Elias Moreno', 'Moreno', 'V']}",15
05_answer.json,2,"{'MISC': ['The', 'Dawn of Solara', 'Sun'], 'LOC': ['Aurelia', 'Solara', 'Pallas'], 'PER': ['Maximo Aurelius', 'El', '##ara', 'Maxim', 'Elara', 'Luca Veran', 'Luca'], 'ORG': ['Secret Police']}",14
05_answer.json,3,"{'MISC': ['Dawn of Solara', 'Solarians'], 'LOC': ['Solara', 'Eldergrove', 'Westport'], 'PER': ['Malik Ada', 'El', '##ara V', 'Elara', 'Mal Thorne', 'Ada', 'Ren', 'Calder'], 'ORG': ['Voice of Solara', 'El', 'Ada']}",16
05_answer.json,4,"{'MISC': ['Blue Horizon', 'The Dawn Charter', 'Dawn Charter'], 'LOC': ['Veri', '##dia', 'Veridia', 'Loria', 'Elderglen'], 'PER': ['Alari', '##c Dora', 'El', '##ara L', 'Dora'], 'ORG': ['International']}",14
05_answer.json,5,"{'MISC': ['of Change'], 'LOC': ['Veridonia', 'Aurelia'], 'PER': ['Alistair Drake', 'Drake', 'Lena Ko', 'Lena']}",7
05_answer.json,6,"{'MISC': ['See', 'of Dawn', 'through Unity'], 'LOC': ['Eastern Europa', 'Republic of', 'Veridonia', 'Londraville'], 'PER': ['Anton Dimitrov', 'Clara Veselin', 'Clara'], 'ORG': ['Alliance for Tomorrow', 'Unity']}",12
05_answer.json,7,"{'MISC': ['Dawn of A New Era', '##ulse of Freedom'], 'LOC': ['Solaria', 'Lumaria', 'V', '##ilarograd'], 'PER': ['Armandus Vila', 'El', '##ara Mendez', '##ara', 'Tomas'], 'ORG': ['The', 'Coalition', 'Justice', 'V']}",15
05_answer.json,8,"{'MISC': ['Dawn', 'National Unity Parade'], 'LOC': ['Varantia', 'Eastern Avoria', 'Nordhaven'], 'PER': ['Luther Ta', '##ros', 'Daniela Rojas', 'Daniel', 'Ta', 'Kai Nikolis'], 'ORG': ['The Varantian Voice', 'Ta', 'Choice']}",14
05_answer.json,9,"{'MISC': ['The Dawn of Aurora'], 'LOC': ['Auroria', 'Opal Sea', 'Au', 'Aurora'], 'PER': ['Marcus Voss', 'V', '##oss', 'El', '##ara Winters', '##ara'], 'ORG': ['##roria', 'El', 'Au']}",14
05_answer.json,10,"{'MISC': ['Echoes of Freedom'], 'LOC': ['Veridonia', 'Veridia'], 'PER': ['Ari', '##c Tavor', 'Elena Novak', 'Elena', 'Tavor', 'Ta', 'Sofia', 'V'], 'ORG': ['The Veridonian Voice']}",12
19_answer.json,1,"{'PER': ['Casey Rivera', 'Casey'], 'LOC': ['Portland', 'Oregon'], 'MISC': ['’ s', 'Together']}",6
19_answer.json,2,"{'LOC': ['Los Angeles'], 'PER': ['Sienna Reeves', 'Sienna'], 'ORG': ['Angeleno', 'SiennaF'], 'MISC': ['##C']}",6
19_answer.json,3,"{'PER': ['Zoe Moran', 'Zoe'], 'ORG': [""Zoe ' s World"", 'ZoeF', '##C']}",5
